CLAVE,Precip_at_Pe85_mm,detail
13011,1047.5100823311748,"{'status': 'interpolated', 'pe_lo': 0.8367346938775511, 'pe_hi': 0.8571428571428571, 'p_lo': 1060.6, 'p_hi': 1040.4616651248843}"
13015,248.70600000000002,"{'status': 'interpolated', 'pe_lo': 0.8333333333333334, 'pe_hi': 0.8541666666666667, 'p_lo': 249.08999999999997, 'p_hi': 248.61}"
13042,985.1243157894737,"{'status': 'interpolated', 'pe_lo': 0.8461538461538461, 'pe_hi': 0.8589743589743589, 'p_lo': 988.0301315789474, 'p_hi': 978.3440789473684}"
13077,297.98,"{'status': 'interpolated', 'pe_lo': 0.8448275862068966, 'pe_hi': 0.8620689655172414, 'p_lo': 298.16, 'p_hi': 297.56}"
13087,253.10000000000002,"{'status': 'interpolated', 'pe_lo': 0.8461538461538461, 'pe_hi': 0.8615384615384615, 'p_lo': 253.68, 'p_hi': 251.36}"
13093,281.3565,"{'status': 'interpolated', 'pe_lo': 0.8412698412698413, 'pe_hi': 0.8571428571428571, 'p_lo': 286.51, 'p_hi': 277.14}"
13135,1096.489,"{'status': 'interpolated', 'pe_lo': 0.8421052631578947, 'pe_hi': 0.8684210526315789, 'p_lo': 1098.07, 'p_hi': 1092.8}"
13137,938.8749999999999,"{'status': 'interpolated', 'pe_lo': 0.8421052631578947, 'pe_hi': 0.8947368421052632, 'p_lo': 945.0999999999999, 'p_hi': 903.6}"
13139,1083.5800000000002,"{'status': 'interpolated', 'pe_lo': 0.8333333333333334, 'pe_hi': 0.8571428571428571, 'p_lo': 1105.0, 'p_hi': 1074.4}"
30016,198.37000000000003,"{'status': 'interpolated', 'pe_lo': 0.8387096774193549, 'pe_hi': 0.8709677419354839, 'p_lo': 202.5, 'p_hi': 190.70000000000005}"
30041,1403.075,"{'status': 'interpolated', 'pe_lo': 0.835820895522388, 'pe_hi': 0.8507462686567163, 'p_lo': 1404.5, 'p_hi': 1403.0}"
30067,1029.0,"{'status': 'interpolated', 'pe_lo': 0.8409090909090908, 'pe_hi': 0.8636363636363636, 'p_lo': 1042.0, 'p_hi': 1009.5}"
30098,943.1134999999998,"{'status': 'interpolated', 'pe_lo': 0.8490566037735848, 'pe_hi': 0.8679245283018868, 'p_lo': 945.27, 'p_hi': 902.14}"
30180,1100.1560000000002,"{'status': 'interpolated', 'pe_lo': 0.8392857142857143, 'pe_hi': 0.8571428571428571, 'p_lo': 1107.44, 'p_hi': 1095.3000000000002}"
30359,540.956,"{'status': 'interpolated', 'pe_lo': 0.7857142857142857, 'pe_hi': 0.8571428571428571, 'p_lo': 587.0, 'p_hi': 535.84}"
30382,1783.5539999999999,"{'status': 'interpolated', 'pe_lo': 0.8333333333333334, 'pe_hi': 0.8888888888888888, 'p_lo': 1803.1199999999997, 'p_hi': 1737.8999999999999}"
